Date,Tank level in %
21.06.2017,30
22.06.2017,82
02.04.2018,54
03.08.2018,54
14.04.2019,31
24.05.2019,29
25.05.2019,85
17.10.2019,82
22.01.2020,70
04.04.2020,64
02.07.2020,64
11.11.2020,60
24.11.2020,57
08.01.2021,48
02.04.2021,39
04.07.2021,36
05.07.2021,64
13.08.2021,64
29.11.2021,57
02.01.2022,51
23.02.2022,45
01.04.2022,42
29.05.2022,38
30.05.2022,82
19.07.2022,82
01.11.2022,81
01.12.2022,79
24.12.2022,76
31.01.2023,69
01.04.2023,63
04.06.2023,63
04.07.2023,63
04.08.2023,63
02.11.2023,62
08.12.2023,57
25.12.2023,55
06.01.2024,54
24.01.2024,50
05.02.2024,49
14.02.2024,48.5
26.02.2024,47
06.03.2024,46
15.03.2024,46
02.04.2024,45.5
